Geographic Area - Borough,Geographic Area - 2010 Census FIPS County Code,Geographic Area - Neighborhood Tabulation Area (NTA)* Code,Geographic Area - Neighborhood Tabulation Area (NTA)* Name,Total Population 2000 Number,Total Population 2010 Number,Total Population Change 2000-2010 Number,Total Population Change 2000-2010 Percent
Bronx,5,BX01,Claremont-Bathgate,28149,31078,2929,10.4
Bronx,5,BX03,Eastchester-Edenwald-Baychester,35422,34517,-905,-2.6
Bronx,5,BX05,Bedford Park-Fordham North,55329,54415,-914,-1.7
Bronx,5,BX06,Belmont,25967,27378,1411,5.4
Bronx,5,BX07,Bronxdale,34309,35538,1229,3.6
Bronx,5,BX08,West Farms-Bronx River,34542,35011,469,1.4
Bronx,5,BX09,Soundview-Castle Hill-Clason Point-Harding Park,50753,53686,2933,5.8
Bronx,5,BX10,Pelham Bay-Country Club-City Island,27140,26583,-557,-2.1
Bronx,5,BX13,Co-Op City,40676,43752,3076,7.6
Bronx,5,BX14,East Concourse-Concourse Village,58961,62284,3323,5.6
Bronx,5,BX17,East Tremont,39280,43423,4143,10.5
Bronx,5,BX22,North Riverdale-Fieldston-Riverdale,28013,27860,-153,-0.5
Bronx,5,BX26,Highbridge,33844,37727,3883,11.5
Bronx,5,BX27,Hunts Point,25142,27204,2062,8.2
Bronx,5,BX28,Van Cortlandt Village,50607,50100,-507,-1
Bronx,5,BX29,Spuyten Duyvil-Kingsbridge,29872,30161,289,1
Bronx,5,BX30,Kingsbridge Heights,33286,32496,-790,-2.4
Bronx,5,BX31,Allerton-Pelham Gardens,28510,28903,393,1.4
Bronx,5,BX33,Longwood,23082,26196,3114,13.5
Bronx,5,BX34,Melrose South-Mott Haven North,33195,39214,6019,18.1
Bronx,5,BX35,Morrisania-Melrose,29797,37865,8068,27.1
Bronx,5,BX36,University Heights-Morris Heights,54335,54188,-147,-0.3
Bronx,5,BX37,Van Nest-Morris Park-Westchester Square,27135,29250,2115,7.8
Bronx,5,BX39,Mott Haven-Port Morris,49030,52413,3383,6.9
Bronx,5,BX40,Fordham South,26880,28262,1382,5.1
Bronx,5,BX41,Mount Hope,52649,51807,-842,-1.6
Bronx,5,BX43,Norwood,40817,40494,-323,-0.8
Bronx,5,BX44,Williamsbridge-Olinville,57420,61321,3901,6.8
Bronx,5,BX46,Parkchester,29353,29821,468,1.6
Bronx,5,BX49,Pelham Parkway,30006,30073,67,0.2
Bronx,5,BX52,Schuylerville-Throgs Neck-Edgewater Park,43712,44167,455,1
Bronx,5,BX55,Soundview-Bruckner,35137,35634,497,1.4
Bronx,5,BX59,Westchester-Unionport,25768,27248,1480,5.7
Bronx,5,BX62,Woodlawn-Wakefield,43583,42483,-1100,-2.5
Bronx,5,BX63,West Concourse,39557,39282,-275,-0.7
Bronx,5,BX75,Crotona Park East,18072,20277,2205,12.2
Bronx,5,BX98,Rikers Island,12780,11091,-1689,-13.2
Bronx,5,BX99,park-cemetery-etc-Bronx,540,1906,1366,253
Brooklyn,47,BK09,Brooklyn Heights-Cobble Hill,22548,22887,339,1.5
Brooklyn,47,BK17,Sheepshead Bay-Gerritsen Beach-Manhattn Bch,64596,64518,-78,-0.1
Brooklyn,47,BK19,Brighton Beach,35244,35547,303,0.9
Brooklyn,47,BK21,Seagate-Coney Island,34267,31965,-2302,-6.7
Brooklyn,47,BK23,West Brighton,17370,17750,380,2.2
Brooklyn,47,BK25,Homecrest,45679,44316,-1363,-3
Brooklyn,47,BK26,Gravesend,29257,29436,179,0.6
Brooklyn,47,BK27,Bath Beach,28572,29931,1359,4.8
Brooklyn,47,BK28,Bensonhurst West,84640,88727,4087,4.8
Brooklyn,47,BK29,Bensonhurst East,58566,62978,4412,7.5
Brooklyn,47,BK30,Dyker Heights,39332,42419,3087,7.8
Brooklyn,47,BK31,Bay Ridge,80539,79371,-1168,-1.5
Brooklyn,47,BK32,Sunset Park West,52312,54041,1729,3.3
Brooklyn,47,BK33,Carroll Gardens-Columbia Street-Red Hook,38327,38353,26,0.1
Brooklyn,47,BK34,Sunset Park East,66150,72340,6190,9.4
Brooklyn,47,BK35,Stuyvesant Heights,61827,63504,1677,2.7
Brooklyn,47,BK37,Park Slope-Gowanus,67263,67649,386,0.6
Brooklyn,47,BK38,DUMBO-Vinegar Hill-Downtown Brklyn-Boerum Hill,30847,34495,3648,11.8
Brooklyn,47,BK40,Windsor Terrace,20779,20988,209,1
Brooklyn,47,BK41,Kensington-Ocean Parkway,36937,36891,-46,-0.1
Brooklyn,47,BK42,Flatbush,110875,105804,-5071,-4.6
Brooklyn,47,BK43,Midwood,55440,52835,-2605,-4.7
Brooklyn,47,BK44,Madison,39076,38917,-159,-0.4
Brooklyn,47,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,42940,45231,2291,5.3
Brooklyn,47,BK46,Ocean Parkway South,20556,20299,-257,-1.3
Brooklyn,47,BK50,Canarsie,85058,83693,-1365,-1.6
Brooklyn,47,BK58,Flatlands,66726,64762,-1964,-2.9
Brooklyn,47,BK60,Prospect Lefferts Gardens-Wingate,70300,67459,-2841,-4
Brooklyn,47,BK61,Crown Heights North,103462,103169,-293,-0.3
Brooklyn,47,BK63,Crown Heights South,42370,39670,-2700,-6.4
Brooklyn,47,BK64,Prospect Heights,19655,19849,194,1
Brooklyn,47,BK68,Fort Greene,28335,26079,-2256,-8
Brooklyn,47,BK69,Clinton Hill,33292,34791,1499,4.5
Brooklyn,47,BK72,Williamsburg,32269,32926,657,2
Brooklyn,47,BK73,North Side-South Side,40130,45774,5644,14.1
Brooklyn,47,BK75,Bedford,59227,70713,11486,19.4
Brooklyn,47,BK76,Greenpoint,37821,34719,-3102,-8.2
Brooklyn,47,BK77,Bushwick North,56093,57138,1045,1.9
Brooklyn,47,BK78,Bushwick South,64617,72101,7484,11.6
Brooklyn,47,BK79,Ocean Hill,30067,31935,1868,6.2
Brooklyn,47,BK81,Brownsville,59099,58300,-799,-1.4
Brooklyn,47,BK82,East New York,83275,91958,8683,10.4
Brooklyn,47,BK83,Cypress Hills-City Line,48961,49223,262,0.5
Brooklyn,47,BK85,East New York (Pennsylvania Ave),27624,29343,1719,6.2
Brooklyn,47,BK88,Borough Park,101055,106357,5302,5.2
Brooklyn,47,BK90,East Williamsburg,31878,34158,2280,7.2
Brooklyn,47,BK91,East Flatbush-Farragut,56033,50355,-5678,-10.1
Brooklyn,47,BK93,Starrett City,14621,13354,-1267,-8.7
Brooklyn,47,BK95,Erasmus,31392,29938,-1454,-4.6
Brooklyn,47,BK96,Rugby-Remsen Village,57934,55326,-2608,-4.5
Brooklyn,47,BK99,park-cemetery-etc-Brooklyn,93,418,325,349.5
Manhattan,61,MN01,Marble Hill-Inwood,49087,46746,-2341,-4.8
Manhattan,61,MN03,Central Harlem North-Polo Grounds,70016,75282,5266,7.5
Manhattan,61,MN04,Hamilton Heights,50555,48520,-2035,-4
Manhattan,61,MN06,Manhattanville,24772,22950,-1822,-7.4
Manhattan,61,MN09,Morningside Heights,54208,55929,1721,3.2
Manhattan,61,MN11,Central Harlem South,39075,43383,4308,11
Manhattan,61,MN12,Upper West Side,136954,132378,-4576,-3.3
Manhattan,61,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,55839,70150,14311,25.6
Manhattan,61,MN14,Lincoln Square,55239,61489,6250,11.3
Manhattan,61,MN15,Clinton,40595,45884,5289,13
Manhattan,61,MN17,Midtown-Midtown South,25807,28630,2823,10.9
Manhattan,61,MN19,Turtle Bay-East Midtown,49737,51231,1494,3
Manhattan,61,MN20,Murray Hill-Kips Bay,48419,50742,2323,4.8
Manhattan,61,MN21,Gramercy,26184,27988,1804,6.9
Manhattan,61,MN22,East Village,41746,44136,2390,5.7
Manhattan,61,MN23,West Village,68483,66880,-1603,-2.3
Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,36757,42742,5985,16.3
Manhattan,61,MN25,Battery Park City-Lower Manhattan,20088,39699,19611,97.6
Manhattan,61,MN27,Chinatown,52375,47844,-4531,-8.7
Manhattan,61,MN28,Lower East Side,72258,72957,699,1
Manhattan,61,MN31,Lenox Hill-Roosevelt Island,76631,80771,4140,5.4
Manhattan,61,MN32,Yorkville,76768,77942,1174,1.5
Manhattan,61,MN33,East Harlem South,56899,57902,1003,1.8
Manhattan,61,MN34,East Harlem North,57148,58019,871,1.5
Manhattan,61,MN35,Washington Heights North,73457,67136,-6321,-8.6
Manhattan,61,MN36,Washington Heights South,93671,84438,-9233,-9.9
Manhattan,61,MN40,Upper East Side-Carnegie Hill,63664,61207,-2457,-3.9
Manhattan,61,MN50,Stuyvesant Town-Cooper Village,19101,21049,1948,10.2
Manhattan,61,MN99,park-cemetery-etc-Manhattan,1662,1849,187,11.3
Queens,81,QN01,South Jamaica,35181,38894,3713,10.6
Queens,81,QN02,Springfield Gardens North,25441,25409,-32,-0.1
Queens,81,QN03,Springfield Gardens South-Brookville,18950,20132,1182,6.2
Queens,81,QN05,Rosedale,25502,25063,-439,-1.7
Queens,81,QN06,Jamaica Estates-Holliswood,26061,25480,-581,-2.2
Queens,81,QN07,Hollis,20747,20269,-478,-2.3
Queens,81,QN08,St. Albans,50046,48593,-1453,-2.9
Queens,81,QN10,Breezy Point-Belle Harbor-Rockwy Prk-Broad Chnl,26711,28018,1307,4.9
Queens,81,QN12,Hammels-Arverne-Edgemere,31645,36885,5240,16.6
Queens,81,QN15,Far Rockaway-Bayswater,48344,50058,1714,3.5
Queens,81,QN17,Forest Hills,85046,83728,-1318,-1.5
Queens,81,QN18,Rego Park,29404,28260,-1144,-3.9
Queens,81,QN19,Glendale,31071,32496,1425,4.6
Queens,81,QN20,Ridgewood,69455,69317,-138,-0.2
Queens,81,QN21,Middle Village,37629,37929,300,0.8
Queens,81,QN22,Flushing,69362,72008,2646,3.8
Queens,81,QN23,College Point,21407,24275,2868,13.4
Queens,81,QN25,Corona,52082,57658,5576,10.7
Queens,81,QN26,North Corona,47156,52037,4881,10.4
Queens,81,QN27,East Elmhurst,21183,23150,1967,9.3
Queens,81,QN28,Jackson Heights,113327,108152,-5175,-4.6
